,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
104,Gonzaga,27,25,2,.926,26.24,5.83,,13,1,,13,0,,7,1,,2366,1815,,71.8,93.2,.324,.438,.504,43.2,53.0,7.8,6.0,.467,18.2,24.0,.230
105,Grambling,25,11,14,.440,-10.82,-7.60,,5,7,,6,3,,3,11,,1765,1763,,69.6,101.4,.412,.361,.537,49.8,51.3,11.9,13.1,.494,18.1,31.2,.296
106,Grand Canyon,25,16,9,.640,10.59,4.07,,9,5,,11,3,,4,4,,1882,1719,,69.0,99.2,.375,.390,.522,46.5,50.3,9.5,7.9,.476,15.8,26.3,.278
107,Green Bay,28,15,13,.536,-5.31,-2.54,,10,7,,8,4,,5,8,,2101,2113,,65.3,114.5,.383,.450,.574,49.7,59.1,9.4,9.2,.539,12.3,28.1,.281
108,Hampton,26,12,14,.462,-7.31,-4.73,,6,7,,9,1,,2,9,,1822,1788,,66.3,102.8,.437,.341,.527,48.0,50.5,9.3,11.8,.491,15.4,29.4,.290
109,Harvard,24,14,10,.583,-1.90,-3.77,,7,3,,7,4,,7,5,,1699,1627,,63.9,104.9,.293,.410,.538,50.4,52.7,10.2,7.8,.505,15.1,28.7,.215
110,Hawaii,24,18,6,.750,6.40,-3.74,,10,4,,14,1,,4,5,,1914,1627,,71.9,93.8,.340,.305,.484,45.2,36.6,11.2,9.0,.449,14.9,26.2,.227
111,High Point,28,24,4,.857,7.20,-7.96,,12,1,,15,1,,6,2,,2570,1975,,72.0,97.1,.353,.417,.539,47.9,53.8,6.9,9.2,.506,20.9,29.3,.246
112,Hofstra,27,17,10,.630,2.73,-1.76,,8,6,,7,2,,8,8,,2046,1831,,66.4,101.6,.350,.396,.502,46.3,55.0,7.9,10.6,.461,13.2,29.2,.249
113,Holy Cross,27,9,18,.333,-13.00,-5.32,,4,10,,6,6,,2,12,,1823,1969,,66.0,110.5,.269,.395,.563,52.2,51.5,9.6,9.4,.537,13.3,27.1,.195
114,Houston,26,23,3,.885,25.88,9.65,,11,2,,13,0,,5,2,,2024,1602,,64.7,94.8,.394,.428,.502,47.4,54.8,7.0,6.4,.464,18.9,31.1,.264
115,Houston Christian,27,10,17,.370,-9.28,-3.08,,6,12,,8,4,,2,12,,1834,1967,,65.1,111.4,.296,.381,.572,50.8,54.5,10.9,9.4,.547,15.7,31.8,.210
116,Howard,27,17,10,.630,-5.64,-9.94,,7,3,,9,4,,5,6,,2050,1840,,69.9,97.0,.428,.358,.521,46.9,46.4,8.5,11.0,.476,19.1,30.3,.303
117,Idaho,26,14,12,.538,-0.77,-1.77,,6,7,,8,3,,5,8,,2066,1915,,69.9,104.8,.377,.374,.542,47.8,47.2,9.1,7.7,.501,14.2,24.6,.277
118,Idaho State,27,10,17,.370,-5.07,-0.48,,3,11,,6,5,,3,11,,2006,2052,,66.3,114.1,.334,.377,.578,47.4,47.9,9.8,9.4,.542,13.5,28.7,.257
119,Illinois,26,21,5,.808,27.17,11.17,,12,3,,13,2,,6,1,,2189,1773,,66.1,102.1,.186,.416,.494,42.8,51.0,8.6,8.5,.470,9.9,26.5,.134
120,Illinois State,27,17,10,.630,6.96,0.08,,9,7,,11,2,,4,6,,2062,1838,,68.2,99.4,.332,.349,.516,47.3,50.2,8.8,8.3,.483,14.7,25.0,.230
121,Illinois-Chicago,27,15,12,.556,3.08,0.56,,10,6,,8,4,,6,7,,2027,1883,,67.7,102.1,.330,.457,.536,47.6,65.3,9.7,10.5,.497,18.0,32.1,.247
122,Incarnate Word,27,10,17,.370,-7.24,-1.58,,5,13,,8,5,,1,11,,2031,2022,,67.2,111.4,.424,.350,.569,48.3,51.5,9.4,8.8,.531,14.1,29.9,.305
123,Indiana,26,17,9,.654,18.53,9.53,,8,7,,13,2,,3,6,,2089,1855,,67.6,104.1,.367,.368,.520,49.4,47.3,8.3,10.9,.471,13.3,29.4,.278
124,Indiana State,27,10,17,.370,-2.87,-0.15,,3,13,,7,6,,3,10,,2028,2023,,69.2,105.8,.281,.340,.528,50.9,43.0,11.2,13.1,.502,13.4,30.7,.193
125,Iona,27,15,12,.556,-7.13,-7.20,,7,9,,9,3,,5,7,,1976,1974,,68.5,105.7,.281,.395,.527,52.5,56.5,9.9,10.4,.497,14.5,32.3,.201
126,Iowa,25,18,7,.720,19.22,7.14,,8,6,,12,2,,3,5,,1924,1622,,63.8,101.7,.381,.382,.549,49.0,49.2,7.6,8.6,.510,18.7,29.7,.277
127,Iowa State,26,23,3,.885,27.31,8.27,,10,3,,15,0,,4,3,,2175,1680,,68.4,94.4,.266,.427,.513,45.4,54.0,10.0,9.1,.485,19.3,28.4,.187
128,IU Indy,28,7,21,.250,-11.99,-3.88,,3,14,,5,7,,2,13,,2352,2466,,76.4,114.8,.472,.364,.610,54.1,54.6,9.6,7.9,.573,18.2,35.1,.348
129,Jackson State,26,9,17,.346,-18.29,-2.98,,8,5,,5,3,,4,12,,1826,2224,,71.6,118.9,.413,.410,.575,55.0,62.2,10.7,12.2,.537,13.0,37.0,.301
130,Jacksonville,27,10,17,.370,-11.82,-4.26,,5,9,,7,3,,2,13,,1941,1970,,66.2,109.2,.420,.357,.564,48.2,50.7,10.5,7.3,.529,14.4,28.1,.295
