,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
26,Boston College,25,9,16,.360,3.62,5.50,,2,10,,8,7,,1,6,,1686,1733,,1020,596,1456,.409,181,610,.297,313,479,.653,264,919,279,118,111,263,415
27,Boston University,28,13,15,.464,-7.98,-8.02,,8,7,,8,5,,4,10,,2145,2097,,1155,752,1536,.490,275,689,.399,364,507,.718,246,924,422,136,93,326,463
28,Bowling Green,26,16,10,.615,1.54,-3.72,,7,6,,9,5,,5,5,,2141,1825,,1045,764,1580,.484,184,534,.345,429,581,.738,267,937,382,277,94,308,452
29,Bradley,27,18,9,.667,3.85,0.23,,11,5,,12,2,,4,5,,2082,1955,,1105,705,1625,.434,242,674,.359,430,586,.734,274,934,346,219,84,258,493
30,Brigham Young,25,19,6,.760,22.40,10.44,,7,5,,10,2,,3,3,,2162,1863,,1005,759,1566,.485,226,631,.358,418,563,.742,311,988,368,193,120,268,394
31,Brown,23,8,15,.348,-8.88,-4.36,,2,8,,5,7,,3,8,,1617,1573,,940,599,1371,.437,165,515,.320,254,369,.688,252,822,354,179,92,281,413
32,Bryant,26,8,18,.308,-17.73,-6.64,,4,8,,7,4,,1,14,,1676,1880,,1045,576,1431,.403,205,687,.298,319,429,.744,263,879,321,154,115,346,422
33,Bucknell,27,8,19,.296,-14.24,-4.42,,5,9,,5,6,,3,10,,1815,2080,,1096,624,1512,.413,203,662,.307,364,472,.771,244,840,351,193,58,347,488
34,Buffalo,25,15,10,.600,-2.51,-4.69,,5,7,,6,6,,7,4,,1966,1871,,1005,655,1376,.476,242,627,.386,414,559,.741,232,809,370,188,66,272,406
35,Butler,26,13,13,.500,11.32,8.40,,4,11,,9,6,,1,7,,2073,1997,,1060,707,1572,.450,192,571,.336,467,664,.703,336,993,409,180,85,297,405
36,Cal Poly,27,11,16,.407,-5.01,0.39,,7,8,,6,6,,5,9,,2196,2303,,1085,716,1650,.434,296,874,.339,468,604,.775,305,1019,360,181,62,432,519
37,Cal State Bakersfield,26,8,18,.308,-11.51,-0.68,,2,12,,6,8,,2,10,,1875,2082,,1040,640,1529,.419,128,433,.296,467,636,.734,311,916,281,200,134,361,531
38,Cal State Fullerton,27,13,14,.481,-2.56,0.68,,8,7,,8,3,,4,10,,2246,2223,,1080,770,1708,.451,235,702,.335,471,664,.709,271,956,428,227,76,315,504
39,Cal State Northridge,26,16,10,.615,-0.64,-0.72,,9,5,,12,1,,4,7,,2132,2054,,1040,773,1683,.459,199,579,.344,387,589,.657,337,1078,454,185,73,349,476
40,California,26,18,8,.692,12.20,6.84,,6,7,,14,3,,3,5,,2053,1897,,1050,678,1505,.450,240,636,.377,457,584,.783,232,897,364,154,83,268,487
41,California Baptist,26,19,7,.731,1.55,-2.68,,9,4,,12,0,,6,6,,1896,1786,,1055,660,1548,.426,160,495,.323,416,580,.717,377,1065,271,139,80,319,488
42,Campbell,26,12,14,.462,-3.64,0.74,,6,7,,8,3,,3,11,,2077,2042,,1040,708,1553,.456,188,580,.324,473,657,.720,331,930,326,184,49,330,455
43,Canisius,27,8,19,.296,-17.33,-7.33,,3,13,,6,7,,2,12,,1702,1921,,1085,592,1480,.400,198,593,.334,320,456,.702,286,897,328,135,66,341,480
44,Central Arkansas,27,17,10,.630,-1.21,-4.01,,12,2,,13,1,,4,9,,2161,1989,,1095,765,1689,.453,285,835,.341,346,499,.693,296,987,446,238,47,297,435
45,Central Connecticut State,25,15,10,.600,-9.92,-9.14,,9,5,,7,3,,8,7,,1877,1768,,1005,676,1418,.477,188,497,.378,337,437,.771,228,863,349,146,101,265,340
46,Central Michigan,25,8,17,.320,-8.60,-2.12,,4,8,,7,4,,0,12,,1849,1933,,1000,684,1461,.468,161,492,.327,320,454,.705,252,828,386,158,108,312,447
47,Charleston Southern,27,12,15,.444,-6.79,-6.25,,3,9,,8,3,,4,11,,2240,2145,,1100,791,1745,.453,327,920,.355,331,512,.646,334,1143,457,129,135,381,579
48,Charlotte,25,13,12,.520,-0.75,-0.05,,7,5,,9,5,,4,5,,1839,1852,,1020,627,1366,.459,214,599,.357,371,524,.708,285,861,318,117,91,306,442
