,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS▼,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
37,Clemson,35,24,11,.686,16.34,9.32,,12,6,,13,3,,6,5,,2582,2336,,1410,794,1898,.418,266,820,.324,482,644,.748,309,1143,365,192,113,400,632
38,Auburn,36,20,16,.556,16.28,12.59,,7,11,,14,4,,2,8,,2974,2841,,1450,991,2135,.464,315,852,.370,544,734,.741,377,1178,515,237,163,400,703
39,Texas A&M,34,22,12,.647,16.15,9.01,,11,7,,14,4,,6,5,,2927,2684,,1390,926,2102,.441,279,878,.318,553,743,.744,423,1292,516,221,137,459,627
40,Southern Methodist,34,20,14,.588,16.10,9.99,,8,10,,15,3,,3,8,,2858,2650,,1370,913,2100,.435,341,1001,.341,483,674,.717,399,1161,556,226,103,407,586
41,Villanova,33,24,9,.727,15.88,10.00,,15,5,,13,3,,9,3,,2545,2351,,1335,855,1888,.453,232,694,.334,409,567,.721,350,1147,463,168,78,412,544
42,Santa Clara,35,26,9,.743,15.54,6.16,,15,3,,14,1,,8,3,,2901,2552,,1405,884,1954,.452,247,753,.328,537,732,.734,370,1170,537,223,111,489,539
43,Texas Christian,35,23,12,.657,15.24,9.96,,11,7,,14,5,,5,5,,2708,2523,,1415,907,2026,.448,260,776,.335,449,617,.728,338,1179,557,214,132,481,653
44,Cincinnati,33,18,15,.545,15.11,9.57,,9,9,,15,3,,2,8,,2413,2230,,1325,791,1922,.412,238,767,.310,410,577,.711,325,1156,431,189,76,417,530
45,Baylor,32,16,16,.500,14.98,11.43,,6,12,,11,6,,3,7,,2642,2469,,1280,896,1954,.459,239,678,.353,438,582,.753,354,1027,436,223,102,362,576
46,Oklahoma,34,19,15,.559,14.60,8.95,,7,11,,11,5,,4,7,,2813,2621,,1370,911,2051,.444,279,815,.342,520,698,.745,406,1182,462,193,115,359,600
