
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
89,Florida Atlantic,26,14,12,.538,5.40,2.78,,6,7,,9,4,,3,6,,2107,1958,,71.4,112.4,.324,.403,.560,53.4,47.2,8.5,15.3,.530,14.7,34.3,.233
90,Florida Gulf Coast,27,12,15,.444,-6.02,-3.86,,6,8,,9,6,,3,9,,2128,2105,,70.1,111.4,.298,.399,.554,51.9,53.1,10.9,11.5,.525,14.0,33.2,.214
91,Florida International,25,12,13,.480,-1.64,-0.19,,5,9,,10,5,,2,8,,2039,1944,,73.6,109.7,.395,.345,.549,50.7,53.5,13.1,13.4,.517,14.7,34.9,.268
92,Florida State,25,12,13,.480,9.83,7.87,,5,7,,9,5,,3,5,,2009,1960,,73.3,109.7,.339,.508,.540,48.6,53.6,11.0,11.2,.505,13.2,31.5,.243
93,Fordham,26,14,12,.538,0.29,-1.53,,5,8,,8,7,,4,4,,1840,1693,,65.8,107.1,.234,.381,.523,55.7,54.1,10.9,7.2,.500,14.5,36.3,.163
94,Fresno State,25,12,13,.480,4.57,4.11,,6,8,,9,6,,2,7,,1843,1795,,70.4,104.8,.371,.419,.551,50.2,52.4,10.2,6.2,.510,16.6,28.9,.277
95,Furman,27,17,10,.630,-3.00,-5.59,,8,6,,10,4,,6,4,,2073,1898,,67.2,112.6,.304,.485,.574,54.1,59.3,7.4,9.6,.554,15.7,33.0,.205
96,Gardner-Webb,27,3,24,.111,-23.88,-0.67,,1,11,,3,9,,0,13,,1856,2370,,71.6,96.1,.319,.388,.520,43.7,42.5,8.6,6.6,.490,17.6,24.0,.218
97,George Mason,26,21,5,.808,6.55,-0.05,,9,4,,15,1,,4,4,,1938,1749,,65.6,113.5,.463,.341,.577,53.2,51.5,7.9,9.4,.536,14.4,31.6,.336
98,George Washington,26,15,11,.577,10.10,1.82,,6,7,,11,3,,2,5,,2163,1899,,70.8,117.4,.349,.464,.585,54.3,55.2,10.8,10.0,.553,15.1,36.4,.257
99,Georgetown,25,13,12,.520,8.67,6.59,,5,9,,9,5,,4,5,,1882,1830,,67.2,110.3,.398,.353,.541,50.9,57.0,10.0,10.9,.496,12.7,32.4,.295
100,Georgia,25,17,8,.680,18.71,6.75,,5,7,,11,4,,4,3,,2258,1959,,74.5,118.9,.378,.431,.573,50.7,46.7,11.3,15.6,.535,12.3,36.2,.283
101,Georgia Southern,27,15,12,.556,-7.63,-6.51,,7,7,,9,5,,6,5,,2190,2157,,72.2,110.9,.405,.471,.551,46.9,42.3,11.2,10.8,.510,12.7,29.2,.294
102,Georgia State,27,9,18,.333,-10.68,-3.68,,6,8,,6,4,,3,12,,1903,2006,,69.3,101.2,.363,.455,.508,47.7,53.4,9.8,8.4,.454,13.8,28.7,.284
103,Georgia Tech,26,11,15,.423,2.96,4.76,,2,11,,10,6,,1,7,,1937,1984,,71.6,103.6,.334,.319,.536,51.1,60.0,8.5,11.8,.506,15.9,30.4,.231
104,Gonzaga,27,25,2,.926,26.20,5.79,,13,1,,13,0,,7,1,,2366,1815,,71.8,121.4,.317,.297,.588,56.8,55.5,12.3,10.8,.566,11.8,36.1,.221
105,Grambling,24,11,13,.458,-10.55,-7.41,,5,6,,6,3,,3,10,,1702,1695,,69.5,102.0,.443,.392,.547,49.9,51.0,11.7,8.3,.501,18.3,30.6,.323
106,Grand Canyon,25,16,9,.640,10.52,4.00,,9,5,,11,3,,4,4,,1882,1719,,69.0,108.6,.388,.388,.552,53.5,48.8,9.9,10.4,.507,15.2,32.6,.293
