,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
172,Towson,CAA,,,14,13,69.4,67.0,2.44,,-0.37,,-8.19,7.02,-1.17,100.96,104.14,-3.18
173,Central Arkansas,A-Sun,,,17,10,80.0,73.7,6.37,,-4.01,,-0.14,-1.07,-1.21,105.12,107.59,-2.47
174,Massachusetts,MAC,,,15,11,81.0,76.7,4.35,,-3.72,,4.00,-5.24,-1.24,105.89,109.33,-3.44
175,Portland,WCC,,,12,15,75.3,78.6,-3.30,,4.47,,-0.51,-0.75,-1.26,104.20,107.55,-3.35
176,Marshall,Sun Belt,,,17,10,80.4,76.1,4.22,,-3.75,,2.29,-3.58,-1.29,108.89,111.85,-2.96
177,Cornell,Ivy,,,12,11,90.3,84.1,6.22,,-2.99,,12.36,-13.88,-1.52,117.03,119.78,-2.75
178,Mercer,Southern,,,17,10,82.9,74.3,8.63,,-4.52,,2.42,-3.98,-1.56,107.47,110.74,-3.27
179,Florida International,CUSA,,,12,13,81.6,77.8,3.80,,-0.13,,4.31,-5.89,-1.58,105.49,108.70,-3.21
180,Pennsylvania,Ivy,,,13,10,76.6,74.6,2.00,,-1.64,,-0.48,-1.20,-1.69,105.06,108.95,-3.90
181,Navy,Patriot,,,21,6,74.2,64.1,10.07,,-9.40,,-4.84,3.12,-1.72,102.43,105.64,-3.21
182,UT Arlington,WAC,,,14,11,72.2,68.1,4.04,,-1.56,,-6.18,4.36,-1.82,100.52,104.04,-3.51
183,Harvard,Ivy,,,14,10,70.8,67.8,3.00,,-3.77,,-6.23,4.33,-1.90,105.06,108.74,-3.67
184,South Dakota State,Summit,,,12,15,75.8,72.6,3.19,,-2.17,,-1.12,-1.06,-2.17,106.02,110.45,-4.43
185,Utah Tech,WAC,,,16,11,76.9,73.6,3.33,,-0.61,,-0.50,-1.94,-2.44,107.33,111.75,-4.42
186,Robert Morris,Horizon,,,18,10,78.1,73.6,4.43,,-4.56,,-1.50,-0.99,-2.48,108.46,112.40,-3.94
187,Columbia,Ivy,,,15,9,78.3,72.5,5.75,,-4.08,,-0.87,-1.62,-2.49,105.64,111.00,-5.36
188,Buffalo,MAC,,,15,10,78.6,74.8,3.80,,-4.69,,0.91,-3.42,-2.51,110.33,114.98,-4.65
189,Cal State Fullerton,Big West,,,13,14,83.2,82.3,0.85,,0.68,,4.04,-6.60,-2.56,105.07,108.92,-3.85
190,Texas A&M-Corpus Christi,Southland,,,14,13,73.3,68.3,4.96,,-0.41,,-6.27,3.69,-2.58,99.50,104.31,-4.81
191,San Diego,WCC,,,11,17,75.5,78.4,-2.82,,3.21,,1.43,-4.14,-2.72,106.96,111.70,-4.74
192,Marist,MAAC,,,16,10,70.0,63.5,6.58,,-8.29,,-8.33,5.60,-2.73,97.43,102.95,-5.52
193,Lipscomb,A-Sun,,,16,11,81.1,76.4,4.74,,-3.57,,1.06,-3.83,-2.77,105.71,110.30,-4.59
194,Weber State,Big Sky,,,13,14,81.6,77.1,4.44,,-2.37,,2.17,-4.98,-2.81,107.94,112.74,-4.81
195,Northern Kentucky,Horizon,,,16,11,82.9,76.8,6.11,,-4.57,,0.87,-3.73,-2.86,105.38,110.38,-5.00
196,Indiana State,MVC,,,10,17,75.1,74.9,0.19,,-0.15,,-0.24,-2.63,-2.87,104.34,108.91,-4.57
197,Furman,Southern,,,17,10,76.8,70.3,6.48,,-5.54,,-3.69,0.73,-2.96,103.65,108.92,-5.26
198,Appalachian State,Sun Belt,,,18,10,71.2,64.3,6.89,,-5.27,,-9.68,6.68,-3.00,100.78,106.26,-5.48
199,Elon,CAA,,,14,13,81.0,78.2,2.78,,-2.73,,3.28,-6.29,-3.01,110.37,115.50,-5.13
200,Missouri State,CUSA,,,13,12,75.1,73.0,2.16,,-1.47,,-2.58,-0.43,-3.01,104.60,109.82,-5.23
201,Monmouth,CAA,,,14,12,72.6,71.2,1.38,,-3.40,,-3.23,0.15,-3.08,102.41,108.62,-6.21
202,Eastern Washington,Big Sky,,,9,17,77.1,80.1,-3.04,,0.74,,1.89,-5.04,-3.15,109.50,114.71,-5.21
203,San Jose State,MWC,,,6,19,70.2,77.4,-7.20,,6.58,,-3.13,-0.04,-3.18,107.81,114.59,-6.78
204,Jacksonville State,CUSA,,,13,12,72.6,66.9,5.76,,-2.67,,-7.34,4.12,-3.22,102.47,108.42,-5.95
205,Lamar,Southland,,,12,15,71.5,69.1,2.41,,-2.61,,-4.79,1.42,-3.37,103.54,109.50,-5.96
206,Youngstown State,Horizon,,,13,14,79.4,72.9,6.56,,-4.56,,-3.11,-0.37,-3.47,104.67,110.37,-5.71
207,Merrimack,MAAC,,,18,9,68.4,66.7,1.70,,-5.32,,-7.92,4.31,-3.62,102.42,108.56,-6.14
208,Campbell,CAA,,,12,14,79.9,78.5,1.35,,0.74,,2.14,-5.78,-3.64,107.84,114.36,-6.52
209,Tarleton State,WAC,,,13,13,75.3,72.5,2.81,,-1.14,,-0.96,-2.69,-3.64,100.69,107.26,-6.57
210,Queens (NC),A-Sun,,,15,12,84.3,83.6,0.74,,-4.07,,5.54,-9.27,-3.73,112.17,118.61,-6.43
211,New Orleans,Southland,,,12,15,75.2,79.1,-3.96,,0.16,,2.21,-6.02,-3.81,105.82,112.68,-6.86
212,Ohio,MAC,,,13,13,77.6,77.8,-0.23,,-0.39,,0.60,-4.41,-3.81,105.10,111.82,-6.73
213,La Salle,A-10,,,7,18,65.8,72.6,-6.88,,4.40,,-6.91,2.93,-3.97,100.55,108.34,-7.79
214,Tennessee-Martin,OVC,,,20,7,72.5,63.5,9.00,,-9.02,,-8.35,4.29,-4.06,101.06,107.46,-6.40
215,Siena,MAAC,,,18,9,71.0,66.1,4.89,,-8.97,,-5.81,1.72,-4.09,103.94,110.82,-6.88
